,day,month,year,temperatura,viento,lluvia
0,18,4,2019,0,0,1
1,6,6,2019,1,0,0
2,8,6,2019,0,0,1
3,11,9,2019,0,0,1
4,22,10,2019,0,0,1
5,22,10,2019,0,1,1
6,21,11,2019,0,0,0
7,18,1,2017,0,0,0
8,19,1,2017,0,0,0
9,20,1,2017,0,0,1
10,21,1,2017,0,0,0
11,21,1,2017,0,0,0
12,22,1,2017,0,1,1
13,24,1,2017,1,0,0
14,3,2,2017,0,1,0
15,3,2,2017,0,0,1
16,4,2,2017,0,0,0
17,5,2,2017,1,0,0
18,12,2,2017,0,0,1
19,12,2,2017,0,1,0
20,19,2,2017,0,0,1
21,3,3,2017,0,0,1
22,10,3,2017,0,0,1
23,13,3,2017,0,1,0
24,13,3,2017,0,0,1
25,15,3,2017,0,1,0
26,24,3,2017,0,0,1
27,1,4,2017,0,1,0
28,18,4,2017,1,0,0
29,20,4,2017,0,1,0
30,25,4,2017,1,0,1
31,27,4,2017,0,0,1
32,28,4,2017,0,0,1
33,1,5,2017,1,0,0
34,9,5,2017,0,0,1
35,21,5,2017,0,1,0
36,24,5,2017,1,0,0
37,25,5,2017,1,0,0
38,29,5,2017,0,0,1
39,30,6,2017,0,0,1
40,13,7,2017,1,0,0
41,23,7,2017,0,1,1
42,9,8,2017,0,0,1
43,15,9,2017,0,0,1
44,2,10,2017,1,0,0
45,3,10,2017,1,0,0
46,5,10,2017,1,0,0
47,15,10,2017,1,1,0
48,11,12,2017,0,1,0
49,27,12,2017,0,1,0
50,5,1,2021,0,0,0
51,12,1,2021,1,0,0
52,22,1,2021,0,1,0
53,29,1,2021,1,0,0
54,5,3,2021,0,0,1
55,5,6,2021,0,0,1
56,17,6,2021,0,0,1
57,11,8,2021,1,0,0
58,14,8,2021,1,0,0
59,15,8,2021,1,0,0
60,29,8,2021,0,0,1
61,1,9,2021,0,0,1
62,13,9,2021,0,0,1
63,19,9,2021,0,0,0
64,23,9,2021,0,0,1
65,5,11,2021,0,1,1
66,6,11,2021,0,0,0
67,2,12,2021,0,0,1
68,27,12,2021,1,0,0
69,17,1,2020,0,1,0
70,19,1,2020,0,0,0
71,20,1,2020,0,0,0
72,23,1,2020,0,0,1
73,15,3,2020,0,0,0
74,25,7,2020,1,0,0
75,29,8,2020,0,1,1
76,17,9,2020,0,0,1
77,18,10,2020,0,0,1
78,3,1,2018,0,0,0
79,7,2,2018,1,0,0
80,28,2,2018,0,1,0
81,4,3,2018,0,1,0
82,11,3,2018,0,1,0
83,25,3,2018,0,0,1
84,29,6,2018,0,0,1
85,4,7,2018,0,1,0
86,31,7,2018,1,0,0
87,9,10,2018,0,0,1
88,19,10,2018,0,0,1
89,18,11,2018,0,0,1
